"","#wt(ATARiS)","#mut(ATARiS)","pvalue(ATARiS)","is_significant(ATARiS)","wt_median(DEMETER2)","wt_IQR(DEMETER2)","mut_median(DEMETER2)","mut_IQR(DEMETER2)","#wt(CRISPR)","#mut(CRISPR)","pvalue(CRISPR)","is_significant(CRISPR)","intogen_gene_role","tcga_amplification_associated_with_overexpression","tcga_amplification_frequency","tcga_nrSamplesInGisticData"
"TNK2",3,2,0.0229069205394192,"yes",0.0438908669222689,0.240899597723674,-0.624292766357634,0.146560877433011,0,1,NA,NA,"",0.00531914893617021,0.0416666666666667,48
"PIGZ",3,2,0.0338215190431188,"no",-0.0214471855571106,0.161530779302963,-0.132686848120141,0.230335796568094,0,1,NA,NA,"",0.271276595744681,0.0416666666666667,48
"HRASLS",3,2,0.053603549043011,"no",-0.198578628186855,0.055529913865842,-0.57576168800585,0.197239252521772,0,1,NA,NA,"",NA,0,48
"LEPREL1",3,2,0.0619439950576737,"no",NA,NA,NA,NA,0,0,NA,NA,"",NA,0,48
"GP5",3,2,0.0860963712069437,"no",0.051409184729634,0.226827842118141,0.16545678780248,0.104338802792374,0,1,NA,NA,"",NA,0,48
"MYC",3,2,0.177588733347312,"no",-0.39461490187361,0.196925702905358,-0.975651363266858,0.312405020515573,0,1,NA,NA,"AML_Act,BLY_Act,LY_Act,NHLY_Act",NA,0.0208333333333333,48
"LRCH3",3,2,0.204124278182001,"no",0.0242196409939612,0.179744149313832,-0.131525150728193,0.0784038692695749,0,1,NA,NA,"",NA,0.0208333333333333,48
"TMEM207",3,2,0.214330158798242,"no",NA,NA,NA,NA,0,1,NA,NA,"",NA,0,48
"PIGX",3,2,0.234717038734129,"no",0.0177601800016372,0.120530536712067,-0.222910591174621,0.000367782807187467,0,1,NA,NA,"",0.00177304964539007,0.0416666666666667,48
"UTS2D",3,2,0.249256531117639,"no",NA,NA,NA,NA,0,0,NA,NA,"",NA,NA,NA
"WDR53",3,2,0.269590944425268,"no",-0.124900013737935,0.141612958182946,0.0621074518917555,0.373402993964285,0,1,NA,NA,"",NA,0.0208333333333333,48
"CPN2",2,2,0.284181266697032,"no",0.0328656974465759,0.0416328878323183,-0.17568899682811,0.132714845587418,0,1,NA,NA,"",NA,0,48
"APOD",3,2,0.301441072444015,"no",0.236873955725267,0.157640689467777,0.0745324215110791,0.0208123543424225,0,1,NA,NA,"",0.468971631205674,0.0416666666666667,48
"DLG1",3,2,0.305384281903551,"no",0.0391895093659149,0.319295868883604,0.288325100535001,0.352448727486305,0,1,NA,NA,"",0.000886524822695035,0.0416666666666667,48
"SIRPB1",2,3,0.3244550096118,"no",0.0647961311001093,0.0556034441982777,0.0113643829731056,0.0687887821785239,0,1,NA,NA,"",NA,0,48
"TM4SF19",3,2,0.370048832148481,"no",-0.462420001581414,0.546933340760174,-0.157372930873102,0.00718093512356699,0,1,NA,NA,"",0.429078014184397,0.0416666666666667,48
"TM4SF19-TCTEX1D2",3,2,0.370048832148481,"no",0.146630046371475,0.55470100684593,-0.0368084902166333,0.0705381444743937,0,0,NA,NA,"",0.0189942441268935,0.0416666666666667,48
"CLDN16",3,2,0.41592923452595,"no",0.249111256931906,0.117923487959804,0.0701982072933835,0.308402918870895,0,1,NA,NA,"",NA,0,48
"ACAP2",3,2,0.424218973115351,"no",-0.132829418928458,0.13320721733995,0.0076760472600635,0.147952651740628,0,1,NA,NA,"",0.531028368794326,0.0416666666666667,48
"TMEM44",3,2,0.466018465971992,"no",0.269801654297988,0.173937001689179,0.118820072485274,0.132016886703496,0,1,NA,NA,"",NA,0.0208333333333333,48
"KIAA0226",3,2,0.477905260999196,"no",NA,NA,NA,NA,0,0,NA,NA,"",NA,0.0416666666666667,48
"LPP",3,2,0.498352373219494,"no",-0.219396186498949,0.42262219913145,-0.241358138315726,0.0541843835069254,0,1,NA,NA,"HNSC_Act,UCS_Act",NA,0.0208333333333333,48
"LMLN",3,2,0.503608482996723,"no",-0.235131434485874,0.403872496132075,-0.295908667811477,0.056518363295466,0,1,NA,NA,"",NA,0.0208333333333333,48
"CLDN1",3,2,0.521664719558185,"no",-0.381379639801486,0.293848425704498,-0.345962081946324,0.0700096966325076,0,1,NA,NA,"",NA,0,48
"PAK2",3,2,0.539834120429146,"no",-0.264207527696263,0.208416825856949,-0.27472367458614,0.0594483308660455,0,1,NA,NA,"THCA_Act",0.00797872340425532,0.0416666666666667,48
"HES1",3,2,0.549994439441506,"no",0.0385553425227055,0.331893838190735,0.103718149469914,0.106966824760324,0,1,NA,NA,"",NA,0,48
"LRRC33",3,2,0.553784835398513,"no",NA,NA,NA,NA,0,0,NA,NA,"",NA,NA,NA
"LSG1",3,2,0.65170080572959,"no",-0.232453723998875,0.130441168599865,-0.0881900609093759,0.00563128664699232,0,1,NA,NA,"",NA,0.0208333333333333,48
"ATP13A3",3,2,0.653430824079016,"no",-0.135411652068687,0.231175960557185,-0.0906955500165635,0.215753840399413,0,1,NA,NA,"",NA,0.0208333333333333,48
"C3orf43",3,2,0.713277312903451,"no",NA,NA,NA,NA,0,0,NA,NA,"",NA,0.0208333333333333,48
"TP63",3,2,0.715578982977226,"no",-0.123224349139054,0.258917844175431,-0.217683361044945,0.210593886478304,0,1,NA,NA,"BLCA_ambiguous,HNSC_ambiguous,NB_ambiguous,UCEC_ambiguous",NA,0,48
"IL1RAP",3,2,0.715926441159708,"no",0.0544397279742595,0.136509306655786,0.227844039894028,0.00322300470096501,0,1,NA,NA,"",NA,0,48
"RNF168",3,2,0.736786998110202,"no",-0.0775396924079243,0.306540424297058,0.0833838637199333,0.0672417987889017,0,1,NA,NA,"",NA,0.0208333333333333,48
"IQCG",3,2,0.740433854924849,"no",-0.0102474698018826,0.239910229422622,0.0251585198753871,0.0664501603570396,0,1,NA,NA,"",NA,0.0208333333333333,48
"ATP13A5",2,2,0.742006586685775,"no",-0.258563429148466,0.23950490211455,-0.07479393416045,0.233756116397856,0,1,NA,NA,"",NA,0,48
"NCBP2",3,2,0.759799431360722,"no",-0.830354790200385,0.102580048273503,-0.52705358970596,0.164516871759699,0,1,NA,NA,"",0.00177304964539007,0.0416666666666667,48
"LRRC15",3,2,0.789044282464677,"no",-0.0763456213568735,0.242107806149023,-0.352759521299084,0.050862554665886,0,1,NA,NA,"",NA,0,48
"OPA1",3,2,0.791454756117682,"no",-0.251110198003262,0.32809039854373,0.0483410273390491,0.148287553288038,0,1,NA,NA,"",NA,0,48
"MUC20",3,2,0.865769039359245,"no",0.0460338217002394,0.144659983583185,0.366086003324078,0.229467516043435,0,1,NA,NA,"",0.75886524822695,0.0416666666666667,48
"MFI2",3,2,0.91739099590399,"no",NA,NA,NA,NA,0,0,NA,NA,"",NA,0.0416666666666667,48
"TFRC",3,2,0.925436007045381,"no",-1.35632051590753,0.540591683781293,-0.561210867890347,0.017571170594586,0,1,NA,NA,"",0.0221631205673759,0.0416666666666667,48
"ZDHHC19",3,2,0.980081887222667,"no",-0.163551487555379,0.234773135551216,0.220855648946591,0.00492492579812695,0,1,NA,NA,"",0.743794326241135,0.0416666666666667,48
